sleep_hours,screen_time_before_sleep,academic_performance
9.0,2.4,2.53
4.4,2.4,2.53
6.2,2.4,2.58
4.1,2.4,2.61
4.4,2.4,2.63
6.4,2.4,2.63
5.4,2.4,2.71
4.7,2.4,2.77
8.5,2.4,2.79
7.9,2.4,2.81
8.4,2.4,2.84
7.5,2.4,2.84
8.0,2.4,2.95
4.8,2.4,2.97
6.9,2.3,2.09
5.7,2.3,2.16
6.9,2.3,2.17
8.1,2.3,2.21
8.8,2.3,2.22
4.5,2.3,2.28
6.8,2.3,2.28
5.3,2.3,2.31
5.6,2.3,2.37
7.5,2.3,2.39
5.3,2.3,2.42
7.9,2.3,2.43
5.8,2.3,2.47
8.2,2.3,2.48
8.4,2.3,2.52
6.4,2.3,2.53
6.3,2.3,2.55
8.6,2.3,2.57
6.8,2.3,2.66
4.9,2.3,2.67
8.8,2.3,2.73
4.4,2.3,2.76
7.3,2.3,2.8
5.6,2.3,2.8
5.1,2.2,2.03
4.6,2.2,2.05
7.0,2.2,2.07
8.5,2.2,2.11
5.1,2.2,2.13
5.2,2.2,2.19
8.0,2.2,2.21
4.2,2.2,2.27
6.8,2.2,2.33
6.9,2.2,2.36
4.4,2.2,2.47
5.0,2.2,2.5
4.3,2.2,2.5
7.0,2.2,2.61
7.4,2.2,2.63
8.4,2.2,2.81
7.5,2.2,2.95
6.2,2.2,2.96
5.2,2.2,2.98
4.9,2.1,2.01
8.1,2.1,2.01
5.0,2.1,2.04
7.1,2.1,2.21
4.4,2.1,2.23
4.6,2.1,2.24
7.8,2.1,2.26
5.8,2.1,2.27
4.2,2.1,2.28
6.9,2.1,2.32
7.7,2.1,2.33
6.0,2.1,2.39
4.7,2.1,2.48
5.1,2.1,2.49
6.7,2.1,2.5
4.8,2.1,2.51
8.1,2.1,2.52
4.7,2.1,2.55
8.4,2.1,2.62
8.1,2.1,2.67
8.4,2.1,2.69
4.9,2.1,2.78
6.0,2.1,2.84
5.9,2.1,2.85
4.1,2.1,2.87
6.8,2.0,2.22
4.6,2.0,2.24
4.6,2.0,2.27
5.1,2.0,2.35
6.7,2.0,2.42
5.0,2.0,2.45
4.5,2.0,2.49
5.9,2.0,2.52
4.6,2.0,2.55
6.7,2.0,2.56
8.4,2.0,2.6
7.8,2.0,2.67
5.0,2.0,2.68
6.6,2.0,2.76
7.5,2.0,2.77
7.4,2.0,2.8
8.0,2.0,2.84
5.9,2.0,2.97
4.7,2.0,2.99
4.4,1.9,2.04
6.2,1.9,2.05
7.5,1.9,2.08
8.9,1.9,2.11
8.0,1.9,2.12
8.8,1.9,2.14
6.9,1.9,2.2
7.4,1.9,2.22
7.7,1.9,2.24
4.4,1.9,2.26
7.7,1.9,2.27
8.7,1.9,2.28
4.1,1.9,2.3
7.6,1.9,2.31
7.1,1.9,2.35
6.7,1.9,2.48
8.9,1.9,2.5
7.3,1.9,2.51
6.7,1.9,2.53
4.6,1.9,2.54
8.8,1.9,2.55
7.9,1.9,2.56
5.4,1.9,2.56
7.0,1.9,2.58
5.5,1.9,2.65
8.0,1.9,2.66
8.7,1.9,2.67
6.6,1.9,2.75
7.3,1.9,2.76
8.9,1.9,2.77
8.0,1.9,2.86
7.1,1.9,2.87
5.9,1.9,2.89
5.7,1.8,2.0
5.2,1.8,2.1
7.2,1.8,2.11
5.5,1.8,2.13
4.2,1.8,2.15
4.3,1.8,2.17
7.0,1.8,2.17
8.6,1.8,2.19
4.0,1.8,2.19
4.6,1.8,2.2
6.3,1.8,2.2
5.5,1.8,2.24
8.2,1.8,2.26
5.3,1.8,2.29
7.5,1.8,2.35
4.6,1.8,2.35
6.2,1.8,2.36
5.2,1.8,2.41
8.6,1.8,2.44
7.6,1.8,2.52
8.1,1.8,2.53
7.0,1.8,2.54
7.1,1.8,2.55
6.8,1.8,2.59
7.0,1.8,2.69
7.9,1.8,2.85
5.5,1.8,2.9
7.2,1.8,2.91
8.4,1.8,2.93
6.8,1.7,2.06
4.9,1.7,2.07
4.8,1.7,2.16
5.3,1.7,2.2
6.3,1.7,2.26
8.0,1.7,2.29
8.2,1.7,2.32
8.8,1.7,2.39
8.4,1.7,2.46
7.1,1.7,2.5
7.4,1.7,2.5
4.5,1.7,2.65
6.1,1.7,2.67
7.2,1.7,2.76
7.4,1.7,2.76
5.3,1.7,2.77
5.1,1.7,2.8
4.8,1.7,2.8
7.9,1.7,2.85
4.4,1.7,2.86
6.4,1.7,2.87
5.7,1.7,2.88
7.4,1.7,2.88
4.8,1.7,2.9
5.3,1.7,2.91
5.5,1.7,2.93
5.6,1.6,2.0
4.5,1.6,2.02
6.5,1.6,2.03
8.4,1.6,2.03
6.9,1.6,2.08
4.1,1.6,2.12
6.5,1.6,2.14
5.4,1.6,2.34
4.9,1.6,2.36
6.6,1.6,2.36
6.2,1.6,2.38
8.7,1.6,2.4
6.3,1.6,2.55
6.1,1.6,2.56
8.0,1.6,2.64
6.3,1.6,2.7
7.0,1.6,2.74
4.1,1.6,2.74
8.4,1.6,2.82
4.5,1.6,2.83
5.5,1.6,2.85
5.1,1.6,2.87
8.3,1.6,2.91
7.3,1.6,2.91
5.3,1.5,2.04
6.5,1.5,2.05
5.0,1.5,2.09
6.0,1.5,2.12
8.2,1.5,2.13
6.8,1.5,2.35
7.2,1.5,2.36
7.2,1.5,2.36
6.8,1.5,2.4
8.2,1.5,2.45
4.3,1.5,2.54
4.6,1.5,2.54
6.5,1.5,2.58
6.0,1.5,2.61
8.6,1.5,2.63
6.3,1.5,2.66
6.3,1.5,2.67
4.4,1.5,2.7
8.7,1.5,2.71
4.2,1.5,2.72
7.8,1.5,2.79
8.4,1.5,2.83
8.6,1.5,2.84
7.4,1.5,2.84
5.9,1.5,2.85
7.4,1.5,2.92
6.8,1.4,2.01
6.6,1.4,2.02
4.4,1.4,2.03
5.7,1.4,2.03
7.0,1.4,2.05
5.6,1.4,2.09
6.1,1.4,2.11
5.9,1.4,2.15
8.6,1.4,2.19
7.5,1.4,2.24
6.4,1.4,2.26
4.1,1.4,2.28
5.1,1.4,2.33
4.8,1.4,2.36
7.9,1.4,2.38
6.4,1.4,2.38
5.4,1.4,2.42
6.7,1.4,2.44
4.5,1.4,2.44
4.2,1.4,2.56
7.5,1.4,2.58
4.2,1.4,2.59
7.3,1.4,2.61
5.2,1.4,2.62
8.1,1.4,2.66
5.2,1.4,2.68
8.6,1.4,2.69
7.6,1.4,2.72
5.6,1.4,2.85
7.7,1.4,2.86
6.9,1.4,2.87
6.5,1.4,2.91
5.6,1.4,2.95
5.5,1.4,2.95
5.0,1.4,2.96
5.2,1.4,2.98
6.0,1.4,2.98
8.4,1.3,2.01
4.4,1.3,2.02
6.6,1.3,2.11
5.8,1.3,2.12
6.9,1.3,2.15
4.2,1.3,2.16
8.3,1.3,2.21
4.1,1.3,2.22
4.3,1.3,2.29
4.8,1.3,2.29
6.5,1.3,2.44
8.4,1.3,2.48
4.1,1.3,2.49
8.0,1.3,2.5
4.5,1.3,2.63
8.8,1.3,2.69
6.3,1.3,2.7
7.8,1.3,2.73
4.1,1.3,2.77
5.9,1.3,2.91
7.5,1.3,2.99
5.7,1.2,2.07
8.1,1.2,2.13
8.8,1.2,2.32
5.4,1.2,2.33
5.8,1.2,2.44
6.0,1.2,2.48
5.5,1.2,2.49
7.4,1.2,2.5
8.7,1.2,2.52
5.0,1.2,2.56
6.1,1.2,2.56
8.4,1.2,2.61
7.9,1.2,2.75
8.2,1.2,2.83
7.6,1.2,2.84
7.9,1.2,2.85
9.0,1.2,2.9
4.8,1.2,2.91
7.8,1.1,2.03
7.5,1.1,2.06
7.1,1.1,2.07
8.9,1.1,2.08
7.0,1.1,2.12
6.1,1.1,2.15
4.3,1.1,2.22
5.1,1.1,2.27
7.7,1.1,2.27
4.4,1.1,2.29
7.2,1.1,2.29
5.4,1.1,2.31
8.6,1.1,2.36
8.0,1.1,2.37
5.6,1.1,2.43
7.1,1.1,2.5
4.7,1.1,2.51
8.6,1.1,2.62
4.2,1.1,2.68
7.2,1.1,2.69
5.0,1.1,2.73
4.6,1.1,2.75
8.7,1.1,2.82
5.6,1.1,2.88
4.6,1.1,2.94
6.2,1.0,2.0
6.2,1.0,2.02
7.7,1.0,2.1
8.5,1.0,2.16
7.6,1.0,2.17
5.9,1.0,2.22
4.6,1.0,2.23
5.3,1.0,2.28
8.0,1.0,2.31
7.3,1.0,2.36
4.0,1.0,2.43
6.4,1.0,2.49
8.8,1.0,2.51
6.5,1.0,2.52
6.8,1.0,2.6
6.0,1.0,2.63
7.5,1.0,2.68
5.7,1.0,2.77
5.2,1.0,2.78
6.8,1.0,2.86
7.8,1.0,2.91
6.5,1.0,2.91
6.0,1.0,2.92
